Subject,Session,Version,Condition,Set,Run,Trial,Onset,Task,Sentence,Sentence_Type,Probe_or_Question,Response,RT,Response_Rate,Accuracy_Strict,Accuracy_Lax
864,FED20220203a_3T2,6,N,1,1,14,145.114504593999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.896861982997507,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,15,154.115518269999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.873766840999451,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,16,165.734023834,ButtonPress,"No, Susan and Julia ripped strips from their clothing and bound the injury.",TwoSentences,,1.0,0.484653581999737,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,17,174.735482063999,ButtonPress,"No, there are thousands of square miles of salt pan which are hideous.",TwoSentences,,1.0,0.435813814001449,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,18,183.736952527997,ButtonPress,"No, he left the rest of his things and returned to the lobby.",TwoSentences,,1.0,0.352761107998958,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,19,190.105784066,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.17957638499865,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,20,199.107305983998,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.624140889001865,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,21,208.108142728001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.51675982799861,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,22,219.727809972999,ButtonPress,"Yes, many times since his death that memory had worried and troubled her.",TwoSentences,,1.0,0.349680489001912,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,23,228.727611410999,ButtonPress,"Yes, he avoided showing any surprise or annoyance when no one answered him.",TwoSentences,,1.0,0.384430635000172,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,24,237.729137626,ButtonPress,"Yes, Keith told Penny about his dream to return to India and Burma.",TwoSentences,,1.0,0.336208533997706,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,25,260.732876607999,ButtonPress,"No, computers are also used to keep branch inventories at more workable levels.",TwoSentences,,1.0,0.436249061000126,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,26,269.735631518,ButtonPress,"No, people spend millions of dollars every year on fortune tellers and soothsayers.",TwoSentences,,1.0,0.433185702997434,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,27,278.736010085999,ButtonPress,"Yes, it is very much a matter of building the foundations of community.",TwoSentences,,1.0,0.301423453998723,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,28,285.154486905998,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.33399059300064,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,29,294.105792823,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.784991480999452,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,30,303.10736034,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.718694541999866,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,31,314.725826195998,ButtonPress,"Yes, the images can easily be aligned with a high degree of accuracy.",TwoSentences,,1.0,0.367914481001208,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,32,323.727506584997,ButtonPress,"Yes, a candle alight in the air directs its flame and smoke upwards.",TwoSentences,,1.0,0.371211647001473,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,33,332.729526141,ButtonPress,"Yes, the target chart quickly and briefly tells you which additives do what.",TwoSentences,,1.0,0.468085368996981,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,34,339.111706792999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.02817812699868,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,35,348.115222182998,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.863254673000483,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,36,357.119459000998,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.91281620800146,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,37,380.170272724998,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.945468891000928,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,38,389.120478746998,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,0.699129741999059,1.0,False,False
864,FED20220203a_3T2,6,N,1,1,39,398.156183914998,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.704306763000204,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,40,409.740431703998,ButtonPress,"Yes, Angelina turned and with an easy grace started walking toward the kitchen.",TwoSentences,,1.0,0.567646064002474,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,41,418.726348707998,ButtonPress,"No, to the directors the problem appeared a matter of intrigue or diplomacy.",TwoSentences,,1.0,0.366749161003099,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,42,427.728517027997,ButtonPress,"Yes, I went to visit Alfred in the Kingston Hospital a few times.",TwoSentences,,1.0,0.47326535799948,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,43,436.729510875997,ButtonPress,"No, he sat down on an old box and focused on the problem.",TwoSentences,,1.0,0.382975723998243,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,44,445.730355814998,ButtonPress,"No, almost no empirical work has been done on the problem of alienation.",TwoSentences,,1.0,0.40247870100211,1.0,True,True
864,FED20220203a_3T2,6,S,1,1,45,454.731103656999,ButtonPress,"No, to compute your adjusted gross income you just total all the items.",TwoSentences,,1.0,0.582810972002335,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,46,461.115489882999,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.776867617001699,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,47,470.166947928999,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.502051990002656,1.0,True,True
864,FED20220203a_3T2,6,N,1,1,48,479.118453489999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.682632871998067,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,1,14.1162422909983,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.712450300001365,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,2,23.1176588599992,MemoryAll,Nonword_sequence,OneSentence,1.0,,,0.0,False,
864,FED20220203a_3T2,6,N,1,2,3,32.1191233649988,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.770541816000332,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,4,43.7391552769986,ButtonPress,"No, if we look at recent art we find it preoccupied with form.",TwoSentences,,1.0,0.399821622999298,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,5,52.7391630460006,ButtonPress,"No, he sat up and watched as they pulled themselves over the stern.",TwoSentences,,1.0,0.317878133999329,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,6,61.7406259640011,ButtonPress,"No, we had become good friends during my stay at Cook County Hospital.",TwoSentences,,1.0,0.351326326999697,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,7,70.7272748620017,ButtonPress,"No, this is an assumption with which few would be disposed to quarrel.",TwoSentences,,1.0,0.353155437001988,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,8,79.7276924789985,ButtonPress,"Yes, Chinese and Indian merchants across the street were slamming their steel shutters.",TwoSentences,,1.0,0.436047060000419,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,9,88.729841067001,ButtonPress,"No, it was a rough long ride through the mud and pot holes.",TwoSentences,,1.0,0.400590045999706,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,10,95.1137544039993,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.508516215999407,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,11,104.115707430999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.553749683000206,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,12,113.116738348999,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.0774388869977,1.0,False,False
864,FED20220203a_3T2,6,S,1,2,13,138.736502451,ButtonPress,"No, he gives credit for the promotion to his new outlook on life.",TwoSentences,,1.0,0.336883467000007,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,14,147.737959506001,ButtonPress,"No, never again did he enter into the ritual of showing the apartment.",TwoSentences,,1.0,0.40122788699955,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,15,156.739425188,ButtonPress,"Yes, a number of considerations suggest that this occurs early in the process.",TwoSentences,,1.0,0.38585804199829,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,16,163.108198653001,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.697071954000421,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,17,172.109113518,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.80600507299823,1.0,False,False
864,FED20220203a_3T2,6,N,1,2,18,181.126776964,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,2.50149421999959,1.0,False,False
864,FED20220203a_3T2,6,S,1,2,19,192.729722438999,ButtonPress,"Yes, Mike passed through it and moved toward the dark mass of horses.",TwoSentences,,1.0,0.435882736997883,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,20,201.730095188999,ButtonPress,"Yes, after that he was never known to run or even walk fast.",TwoSentences,,1.0,0.351227950999601,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,21,210.731567015002,ButtonPress,"Yes, his wife was in delicate health and nursing an infant with measles.",TwoSentences,,1.0,0.301273205997859,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,22,217.115983958,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.628942981998989,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,23,226.117446503002,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.604587327001354,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,24,235.118862520001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.6411921009967,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,25,258.107138906998,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,0.967772182000772,1.0,False,False
864,FED20220203a_3T2,6,N,1,2,26,267.108374514999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.61508168599903,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,27,276.108898011,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.22570869899937,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,28,287.761367166,ButtonPress,"No, there was little likelihood of any customers walking in at that hour.",TwoSentences,,1.0,0.436984184001631,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,29,296.728742011001,ButtonPress,"Yes, just the barest suggestion of a heel is found on teenage pumps.",TwoSentences,,1.0,0.252346858000237,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,30,305.791153069,ButtonPress,"Yes, an objective scale was developed for rating school neighborhoods from these data.",TwoSentences,,1.0,0.335997071000747,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,31,312.114749003998,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.800648833002924,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,32,321.117136882,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.731800866000412,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,33,330.118758253,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.00700152399804,1.0,False,False
864,FED20220203a_3T2,6,S,1,2,34,341.738005985,ButtonPress,"Yes, the roof blocks are in two layers and are not mortared together.",TwoSentences,,1.0,0.401949191000313,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,35,350.741125355002,ButtonPress,"Yes, he stopped pacing to stare at Hal with his pale blue eyes.",TwoSentences,,1.0,0.318994985002064,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,36,359.728514562001,ButtonPress,"No, he called the store owner and together they went into the stockroom.",TwoSentences,,1.0,0.336313310999685,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,37,382.727014331998,ButtonPress,"Yes, the patrons included local taxi drivers and art students and small shopkeepers.",TwoSentences,,1.0,0.401145183001063,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,38,391.728468264999,ButtonPress,"Yes, Kyoto is the ancient capital of Japan and still its cultural center.",TwoSentences,,1.0,0.413741292999475,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,39,400.729323715001,ButtonPress,"No, need for novelty may be a symptom of cultural fatigue and instability.",TwoSentences,,1.0,0.367161231999489,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,40,407.115026523999,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.755569388002186,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,41,416.149323596001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.16640264299713,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,42,425.116659071999,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,0.865590762998181,1.0,False,False
864,FED20220203a_3T2,6,N,1,2,43,434.117957628001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.628839495002467,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,44,443.119459867001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.32340051900246,1.0,True,True
864,FED20220203a_3T2,6,N,1,2,45,452.120879693,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.73839972299902,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,46,463.723939077001,ButtonPress,"Yes, at once a bevy of dogs was snapping and snarling around him.",TwoSentences,,1.0,0.397492774001876,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,47,472.725550371,ButtonPress,"Yes, this happened in the middle of a drinking bout with another bum.",TwoSentences,,1.0,0.287713532001362,1.0,True,True
864,FED20220203a_3T2,6,S,1,2,48,481.726766250002,ButtonPress,"No, you could win a popularity contest at that school without any trouble.",TwoSentences,,1.0,0.381541033002577,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,1,14.1178890840019,ComprehensionQ,After that they had sat for five minutes without saying a word.,TwoSentences,2.0,2.0,2.18084086499948,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,2,22.1375905170025,ComprehensionQ,This is a significant advance but its importance should not be exaggerated.,TwoSentences,1.0,,,0.0,False,
864,FED20220203a_3T2,4,S,3,3,3,30.1204485660019,ComprehensionQ,It appeared that the theory could be saved in one way only.,TwoSentences,1.0,1.0,2.2560062090015,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,4,38.1052040620016,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.941948972002137,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,5,46.1230709480005,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.562385440000071,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,6,54.109206404999,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,0.847496438000235,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,7,62.1423414070014,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.895695463001175,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,8,70.126968462002,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,0.787988443000359,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,9,78.1130024300001,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,0.770148740997683,1.0,False,False
864,FED20220203a_3T2,4,S,3,3,10,86.1137258740018,ComprehensionQ,There is a tangible feeling in the air of revulsion toward politics.,TwoSentences,2.0,2.0,1.96657779000088,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,11,94.1324087190005,ComprehensionQ,Student leaders began sporadic efforts to negotiate theater integration several months ago.,TwoSentences,2.0,1.0,2.97333787400203,1.0,False,False
864,FED20220203a_3T2,4,S,3,3,12,102.131598674001,ComprehensionQ,The hull was also a result of almost a decade of work.,TwoSentences,1.0,1.0,1.78660824800318,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,13,124.119056848001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.804130751999764,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,14,132.103674479,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.479824530000769,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,15,140.105801463,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,1.40700019899668,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,16,148.124481782001,ComprehensionQ,The exuberance on this occasion set a standard for subsequent Dartmouth gatherings.,TwoSentences,1.0,1.0,1.2472124800006,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,17,156.168257462999,ComprehensionQ,Someone had moved beyond the range of the light from the window.,TwoSentences,1.0,1.0,1.71424308300266,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,18,164.126362645002,ComprehensionQ,No one suggested that the ethical effects of the art were irrelevant.,TwoSentences,2.0,2.0,2.08660188999784,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,19,172.111498897,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.971431860998564,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,20,180.113399833001,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.64521861499816,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,21,188.146392859002,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.900937721999071,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,22,196.114148330002,ComprehensionQ,We made it back to the Harbor in less than four minutes.,TwoSentences,2.0,2.0,1.44856515599895,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,23,204.131808386002,ComprehensionQ,And this was before he began to play his startlingly beautiful jazz.,TwoSentences,1.0,2.0,2.60531293800159,1.0,False,False
864,FED20220203a_3T2,4,S,3,3,24,212.116770205001,ComprehensionQ,The others likewise had hidden themselves in the grass and the brush.,TwoSentences,2.0,2.0,1.95966815299835,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,25,234.169427604,ComprehensionQ,Within two weeks Warren was ringing the bell at the abbey gate.,TwoSentences,2.0,2.0,1.65099431300041,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,26,242.194305762001,ComprehensionQ,This procedure is much more effective than giving out a membership packet.,TwoSentences,1.0,1.0,1.83201578700027,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,27,250.174479752,ComprehensionQ,She blew her nose on a tissue and opened the coke bottle.,TwoSentences,1.0,1.0,1.69900480399883,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,28,258.175205631,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.66331429300044,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,29,266.159793486,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.734688387998176,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,30,274.110242627001,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.856785074996878,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,31,282.111517118999,ComprehensionQ,The thin man moved swiftly to the phone and dialed a number.,TwoSentences,1.0,1.0,1.72531805800099,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,32,290.146111329999,ComprehensionQ,Her mother also was a person of superior mind and broad interests.,TwoSentences,2.0,2.0,1.05490555199867,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,33,298.114064507001,ComprehensionQ,They are the most beautiful part of that little piece of nature.,TwoSentences,2.0,2.0,2.21647341599964,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,34,306.115493715002,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,0.721742721001647,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,35,314.131776149999,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.54780905999723,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,36,322.117507030001,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,0.670602573001815,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,37,344.204906030001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.899345470999833,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,38,352.110142371002,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,1.03467235000062,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,39,360.129511900002,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.898269536999578,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,40,368.185888516,ComprehensionQ,The windshield glass is shatterproof and plexiglas is used in the cabin.,TwoSentences,2.0,2.0,2.12327068599916,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,41,376.114500880001,ComprehensionQ,Then he noticed that the dry wood of the wheels had swollen.,TwoSentences,1.0,1.0,1.36349363100089,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,42,384.128185550002,ComprehensionQ,The Mayor is finding it awkward to campaign against his own record.,TwoSentences,2.0,2.0,1.39435359399795,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,43,392.196106364001,ComprehensionQ,The continuing modernization of these forces is a costly but necessary process.,TwoSentences,1.0,1.0,1.5099496690018,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,44,400.19835192,ComprehensionQ,Most of us would be willing to admit that forgiveness comes hard.,TwoSentences,2.0,2.0,1.57934934299919,1.0,True,True
864,FED20220203a_3T2,4,S,3,3,45,408.165227656002,ComprehensionQ,Whole families are moving and removal firms are booked for months ahead.,TwoSentences,1.0,1.0,1.82675139599814,1.0,True,True
864,FED20220203a_3T2,4,N,3,3,46,416.183360569001,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,0.741837767000106,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,47,424.117955837002,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.03015238399894,1.0,False,False
864,FED20220203a_3T2,4,N,3,3,48,432.118658079002,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.29626891700173,1.0,False,False
864,FED20220203a_3T2,4,N,3,4,1,14.1175399019994,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.38430724900172,1.0,False,False
864,FED20220203a_3T2,4,N,3,4,2,22.1188301170005,MemoryAll,Nonword_sequence,OneSentence,2.0,1.0,1.14875540999856,1.0,False,False
864,FED20220203a_3T2,4,N,3,4,3,30.121316277,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.851313971001218,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,4,38.1058755649974,ComprehensionQ,He wanted to go back to Harvard for another year of playwriting.,TwoSentences,2.0,2.0,1.7457272449974,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,5,46.1070046899986,ComprehensionQ,Good radio drama has its own special demands that badly need reinvigoration.,TwoSentences,2.0,2.0,1.74411696400057,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,6,54.1413503170006,ComprehensionQ,I crossed the beautifully furnished living room to the pale yellow phone.,TwoSentences,1.0,1.0,1.50003310900138,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,7,62.1075488149982,ComprehensionQ,It was a simple ivory crucifix which my mother had given me.,TwoSentences,1.0,1.0,1.72061344399845,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,8,70.109990211,ComprehensionQ,He enlisted a staff of loyal experts and of many zealous volunteers.,TwoSentences,1.0,1.0,1.30671221899684,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,9,78.1280578419974,ComprehensionQ,When he gets the answers to his questions he will be discouraged.,TwoSentences,2.0,2.0,2.05248619000122,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,10,86.129260447,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.956073817000288,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,11,94.1138738909976,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.913512573999469,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,12,102.198594822999,MemoryAll,Nonword_sequence,OneSentence,2.0,2.0,0.864376375000575,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,13,124.119906608998,ComprehensionQ,In this way you will be able to detect any obvious mistakes.,TwoSentences,1.0,1.0,1.97891215700292,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,14,132.118867806999,ComprehensionQ,We bought his records and played them in our schools and universities.,TwoSentences,2.0,2.0,1.94704705700133,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,15,140.105813491999,ComprehensionQ,In this play there were so many characters and so much detail.,TwoSentences,1.0,1.0,0.989178160998563,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,16,148.110813798001,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.996212631001981,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,17,156.157417810999,MemoryAll,Nonword_sequence,OneSentence,1.0,1.0,0.954980017999333,1.0,True,True
864,FED20220203a_3T2,4,N,3,4,18,164.109209933998,MemoryAll,Nonword_sequence,OneSentence,1.0,2.0,1.14835854000194,1.0,False,False
864,FED20220203a_3T2,4,S,3,4,19,172.109611488999,ComprehensionQ,They adopted a program by which Louisiana was divided into five districts.,TwoSentences,1.0,1.0,1.12705715199991,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,20,180.112157036998,ComprehensionQ,Their duties include evaluation of the information collected and preparation of recommendations.,TwoSentences,2.0,2.0,1.40976076200241,1.0,True,True
864,FED20220203a_3T2,4,S,3,4,21,188.113207907998,ComprehensionQ,They are trying to demonstrate some different ways of teaching and learning.,TwoSentences,2.0,2.0,2.78627933000098,1.0,True,True
